"anio","tipoInstitucion","institucion","uacad","carrera","titulo","gestion","nivel","estVarones","estMujeres","niVarones","niMujeres","reinsVarones","reinsMujeres","egVarones","egMujeres"
2010,"Universidad                                       ","Universidad Católica de Santa Fe","Facultad de Ciencias Económicas","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información - Ciclo de Licenciatura","Privada                                           ","Grado               ",70,25,26,4,44,21,9,7
2010,"Universidad                                       ","Universidad Champagnat","Facultad de Informática","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",139,30,19,3,120,27,6,2
2010,"Universidad                                       ","Universidad Gastón Dachary","Departamento de Informática","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",23,6,13,2,10,4,0,0
2010,"Universidad                                       ","Universidad Gastón Dachary","Departamento de Informática","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información - Ciclo de Licenciatura","Privada                                           ","Grado               ",5,0,2,0,3,0,0,0
2010,"Universidad                                       ","Universidad Gastón Dachary","Departamento de Informática Oberá","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",16,4,0,0,16,4,0,0
2010,"Universidad                                       ","Universidad Nacional de Catamarca","Facultad de Tecnología y Ciencias Aplicadas","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",51,28,0,0,51,28,0,0
2010,"Universidad                                       ","Universidad Nacional de Luján","Centro Regional Chivilcoy","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",36,11,11,4,25,7,0,0
2010,"Universidad                                       ","Universidad Nacional de Luján","Rectorado","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",393,102,97,23,296,79,3,1
2010,"Universidad                                       ","Universidad Nacional de Misiones","Facultad de Ciencias Exactas, Químicas y Naturales","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",262,55,48,9,214,46,1,1
2010,"Universidad                                       ","Universidad Nacional de San Juan","Facultad de Ciencias Exactas, Físicas y Naturales","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",215,108,47,15,168,93,11,6
2010,"Universidad                                       ","Universidad Nacional de Santiago del Estero","Facultad de Ciencias  Exactas y Tecnológicas","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",295,146,51,9,244,137,2,5
2010,"Universidad                                       ","Universidad Nacional del Nordeste","Facultad de Ciencias Exactas y Naturales y Agrimensura","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",0,427,240,58,817,369,20,9
2010,"Universidad                                       ","Universidad de Belgrano","Facultad de Tecnología Informática","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",76,15,4,0,72,15,6,1
2010,"Universidad                                       ","Universidad de la Cuenca del Plata","Instituto de Computación, Tecnología de la Información y del Conocimiento","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",8,1,8,1,0,0,0,0
2010,"Universidad                                       ","Universidad del Congreso","Facultad Universidad de Congreso","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",8,1,0,0,8,1,3,0
2010,"Universidad                                       ","Universidad del Salvador","Complejo Educativo Nuestra Señora del Pilar","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",2,0,0,0,2,0,0,0
2010,"Universidad                                       ","Universidad del Salvador","Facultad de Ciencias de la Administración","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",66,16,16,5,50,11,31,2
2011,"Universidad                                       ","Universidad Adventista del Plata","Facultad de Ciencias Económicas y de la Administración","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",108,9,22,4,86,5,10,1
2011,"Universidad                                       ","Universidad Autónoma de Entre Ríos","Facultad de Ciencia y Tecnología","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",282,43,192,34,90,9,0,0
2011,"Universidad                                       ","Universidad Católica de Santa Fe","Facultad de Ciencias Económicas","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información - Ciclo de Licenciatura","Privada                                           ","Grado               ",68,18,15,7,53,11,2,2
2011,"Universidad                                       ","Universidad Champagnat","Facultad de Informática","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",121,29,19,4,102,25,6,1
2011,"Universidad                                       ","Universidad Gastón Dachary","Departamento de Informática","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",24,7,12,3,12,4,0,0
2011,"Universidad                                       ","Universidad Gastón Dachary","Departamento de Informática","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información - Ciclo de Licenciatura","Privada                                           ","Grado               ",8,0,1,0,7,0,0,0
2011,"Universidad                                       ","Universidad Gastón Dachary","Departamento de Informática Oberá","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",13,2,0,0,13,2,1,0
